2016 Rank,Company,Category Detail,Franchise 500 Rank,Initial Investment,High,Change In Units 1 Yr,Change In Units 3 Yr,Founded,Franchising Since,Corporate Address,Veteran Incentives,Highest Rank,Lowest Rank,Where Seeking Franchisees,Operations
384,The Woodhouse Day Spa,"Spa services and treatments, bath, body, and wellness products",#384 Franchise 500,"$510,050 ","$750,400 ",+10.9% +5 UNITS,+21.7% +10 UNITS,2001,2003,"1 O'Connor Plaza, 1st Fl. Victoria, TX 77901",50% off franchise fee,,,throughout the U.S.,Training Onsite: 10 days
385,East Coast Wings Corp.,Buffalo wings,#385 Franchise 500,"$655,875 ","$1,005,974 ",+11.8% +4 UNITS,+26.5% +9 UNITS,1995,2004,"100 Cambridge Plaza Dr. Winston-Salem, NC 27103","$5,000 off franchise fee",337,385,worldwide,Training Onsite: 14 days
386,United States Seamless Inc.,"Seamless steel siding, gutters, accessories",#386 Franchise 500,"$52,250 ","$111,350 ",,+3.8% +2 UNITS,1991,1992,"474 45th St. S., P.O. Box 2426 Fargo, ND 58103",,,,in the following regions/states;See List,Training at headquarters: Unlimited
387,MassageLuXe,"Therapeutic massage, facials, waxing",#387 Franchise 500,"$251,700 ","$449,700 ",+27.5% +11 UNITS,+45.0% +18 UNITS,2008,2008,"11 Champion Dr. Fenton, MO 63026",,338,387,worldwide,Training Onsite: 3-5 days
388,iLoveKickboxing.com,Kickboxing fitness classes,#388 Franchise 500,"$120,849 ","$312,199 ",+1.1% +1 UNITS,+25.5% +24 UNITS,2009,2012,"1844 Lansdowne Ave. Merrick, NY 11566",,,,internationally,Training at headquarters: 5 days
389,Fox's Pizza Den,"Pizza, sandwiches, wings, salads",#389 Franchise 500,"$129,550 ","$228,050 ",,,1971,1974,"4425 William Penn Hwy. Murrysville, PA 15668",,136,389,in the following regions/states;See List,Training Onsite: 7 days
390,Happy & Healthy Products Inc.,Frozen fruit bars,#390 Franchise 500,"$49,666 ","$92,082 ",,,1991,1993,"1600 S. Dixie Hwy., #200 Boca Raton, FL 33432",5% off franchise fee,,,throughout the US,Training Onsite: 5-10 days
391,Your Pie,Assembly-line pizza,#391 Franchise 500,"$318,750 ","$485,105 ",+21.7% +5 UNITS,+21.7% +5 UNITS,2008,2008,"1021 Baxter St., #1 Athens, GA 30606",,,,throughout the US,Training Onsite: 2 weeks
392,Waxing the City,Facial and body waxing,#392 Franchise 500,"$121,925 ","$451,775 ",+29.6% +8 UNITS,+70.4% +19 UNITS,2003,2010,"111 Weir Dr. Woodbury, MN 55125","$7,500 off franchise fee",,,throughout the US,Training at headquarters: 5 days
393,ApexNetwork Physical Therapy,Physical therapy,#393 Franchise 500,"$167,350 ","$352,500 ",+31.7% +13 UNITS,+48.8% +20 UNITS,1999,2008,"884 Woods Mill Rd., #200 Ballwin, MO 63011",10% off franchise fee,,,throughout the US,Training Onsite: 1-2 days
